"fips","MSA","year","population"
"01001","MONTGOMERY, AL",2000,43671
"01001","MONTGOMERY, AL",2010,54571
"01003","MOBILE, AL",2000,140415
"01003","MOBILE, AL",2010,182265
"01005","RURAL",2000,29038
"01005","RURAL",2010,27457
"01007","RURAL",2010,22915
"01007","RURAL",2000,20826
"01009","BIRMINGHAM, AL",2000,51024
"01009","BIRMINGHAM, AL",2010,57322
"01011","RURAL",2000,11714
"01011","RURAL",2010,10914
"01013","RURAL",2010,20947
"01013","RURAL",2000,21399
"01015","ANNISTON, AL",2000,112249
"01015","ANNISTON, AL",2010,118572
"01017","RURAL",2010,34215
"01017","RURAL",2000,36583
"01019","RURAL",2010,25989
"01019","RURAL",2000,23988
"01021","RURAL",2000,39593
"01021","RURAL",2010,43643
"01023","RURAL",2000,15922
"01023","RURAL",2010,13859
"01025","RURAL",2010,25833
"01025","RURAL",2000,27867
"01027","RURAL",2000,14254
"01027","RURAL",2010,13932
"01029","RURAL",2000,14123
"01029","RURAL",2010,14972
"01031","RURAL",2010,49948
"01031","RURAL",2000,43615
"01033","FLORENCE, AL",2000,54984
"01033","FLORENCE, AL",2010,54428
"01035","RURAL",2000,14089
"01035","RURAL",2010,13228
"01037","RURAL",2000,12202
"01037","RURAL",2010,11539
"01039","RURAL",2010,37765
"01039","RURAL",2000,37631
"01041","RURAL",2010,13906
"01041","RURAL",2000,13665
"01043","RURAL",2010,80406
"01043","RURAL",2000,77483
"01045","DOTHAN, AL",2000,49129
"01045","DOTHAN, AL",2010,50251
"01047","RURAL",2010,43820
"01047","RURAL",2000,46365
"01049","RURAL",2000,64452
"01049","RURAL",2010,71109
"01051","MONTGOMERY, AL",2010,79303
"01051","MONTGOMERY, AL",2000,65874
"01053","RURAL",2000,38440
"01053","RURAL",2010,38319
"01055","GADSDEN, AL",2000,103459
"01055","GADSDEN, AL",2010,104430
"01057","RURAL",2000,18495
"01057","RURAL",2010,17241
"01059","RURAL",2010,31704
"01059","RURAL",2000,31223
"01061","RURAL",2010,26790
"01061","RURAL",2000,25764
"01063","RURAL",2000,9974
"01063","RURAL",2010,9045
"01065","RURAL",2010,15760
"01065","RURAL",2000,17185
"01067","RURAL",2000,16310
"01067","RURAL",2010,17302
"01069","DOTHAN, AL",2010,101547
"01069","DOTHAN, AL",2000,88787
"01071","RURAL",2010,53227
"01071","RURAL",2000,53926
"01073","BIRMINGHAM, AL",2010,658466
"01073","BIRMINGHAM, AL",2000,662047
"01075","RURAL",2010,14564
"01075","RURAL",2000,15904
"01077","FLORENCE, AL",2000,87966
"01077","FLORENCE, AL",2010,92709
"01079","DECATUR, AL",2000,34803
"01079","DECATUR, AL",2010,34339
"01081","RURAL",2010,140247
"01081","RURAL",2000,115092
"01083","HUNTSVILLE, AL",2000,65676
"01083","HUNTSVILLE, AL",2010,82782
"01085","RURAL",2010,11299
"01085","RURAL",2000,13473
"01087","RURAL",2000,24105
"01087","RURAL",2010,21452
"01089","HUNTSVILLE, AL",2010,334811
"01089","HUNTSVILLE, AL",2000,276700
"01091","RURAL",2000,22539
"01091","RURAL",2010,21027
"01093","RURAL",2010,30776
"01093","RURAL",2000,31214
"01095","RURAL",2000,82231
"01095","RURAL",2010,93019
"01097","MOBILE, AL",2000,399843
"01097","MOBILE, AL",2010,412992
"01099","RURAL",2010,23068
"01099","RURAL",2000,24324
"01101","MONTGOMERY, AL",2000,223510
"01101","MONTGOMERY, AL",2010,229363
"01103","DECATUR, AL",2000,111064
"01103","DECATUR, AL",2010,119490
"01105","RURAL",2000,11861
"01105","RURAL",2010,10591
"01107","RURAL",2010,19746
"01107","RURAL",2000,20949
"01109","RURAL",2000,29605
"01109","RURAL",2010,32899
"01111","RURAL",2010,22913
"01111","RURAL",2000,22380
"01113","COLUMBUS, GA",2000,49756
"01113","COLUMBUS, GA",2010,52947
"01115","BIRMINGHAM, AL",2010,83593
"01115","BIRMINGHAM, AL",2000,64742
"01117","BIRMINGHAM, AL",2010,195085
"01117","BIRMINGHAM, AL",2000,143293
"01119","RURAL",2010,13763
"01119","RURAL",2000,14798
"01121","RURAL",2010,82291
"01121","RURAL",2000,80321
"01123","RURAL",2000,41475
"01123","RURAL",2010,41616
"01125","TUSCALOOSA, AL",2010,194656
"01125","TUSCALOOSA, AL",2000,164875
"01127","RURAL",2010,67023
"01127","RURAL",2000,70713
"01129","RURAL",2000,18097
"01129","RURAL",2010,17581
"01131","RURAL",2000,13183
"01131","RURAL",2010,11670
"01133","RURAL",2000,24843
"01133","RURAL",2010,24484
"02013","RURAL",2000,2697
"02013","RURAL",2010,3141
"02016","RURAL",2010,5561
"02016","RURAL",2000,5465
"02020","ANCHORAGE, AK",2010,291826
"02020","ANCHORAGE, AK",2000,260283
"02050","RURAL",2000,16006
"02050","RURAL",2010,17013
"02060","RURAL",2010,997
"02060","RURAL",2000,1258
"02068","RURAL",2010,1826
"02068","RURAL",2000,1893
"02070","RURAL",2000,4922
"02070","RURAL",2010,4847
"02090","RURAL",2000,82840
"02090","RURAL",2010,97581
"02100","RURAL",2010,2508
"02100","RURAL",2000,2392
"02105",NA,2010,2150
"02110","RURAL",2000,30711
"02110","RURAL",2010,31275
"02122","RURAL",2010,55400
"02122","RURAL",2000,49691
"02130","RURAL",2010,13477
"02130","RURAL",2000,14070
"02150","RURAL",2000,13913
"02150","RURAL",2010,13592
"02164","RURAL",2000,1823
"02164","RURAL",2010,1631
"02170","RURAL",2000,59322
"02170","RURAL",2010,88995
"02180","RURAL",2000,9196
"02180","RURAL",2010,9492
"02185","RURAL",2010,9430
"02185","RURAL",2000,7385
"02188","RURAL",2000,7208
"02188","RURAL",2010,7523
"02195",NA,2010,3815
"02198",NA,2010,5559
"02201","RURAL",2000,6146
"02220","RURAL",2010,8881
"02220","RURAL",2000,8835
"02230",NA,2010,968
"02232","RURAL",2000,3436
"02240","RURAL",2010,7029
"02240","RURAL",2000,6174
"02261","RURAL",2010,9636
"02261","RURAL",2000,10195
"02270","RURAL",2010,7459
"02270","RURAL",2000,7028
"02275",NA,2010,2369
"02280","RURAL",2000,6684
"02282","RURAL",2010,662
"02282","RURAL",2000,808
"02290","RURAL",2010,5588
"02290","RURAL",2000,6551
"04001","RURAL",2010,71518
"04001","RURAL",2000,69423
"04003","RURAL",2010,131346
"04003","RURAL",2000,117755
"04005","FLAGSTAFF, AZ",2010,134421
"04005","FLAGSTAFF, AZ",2000,116320
"04007","RURAL",2010,53597
"04007","RURAL",2000,51335
"04009","RURAL",2010,37220
"04009","RURAL",2000,33489
"04011","RURAL",2010,8437
"04011","RURAL",2000,8547
"04012","RURAL",2000,19715
"04012","RURAL",2010,20489
"04013","PHOENIX, AZ",2000,3072149
"04013","PHOENIX, AZ",2010,3817117
"04015","LAS VEGAS, NV",2000,155032
"04015","LAS VEGAS, NV",2010,200186
"04017","RURAL",2000,97470
"04017","RURAL",2010,107449
"04019","TUCSON, AZ",2000,843746
"04019","TUCSON, AZ",2010,980263
"04021","PHOENIX, AZ",2010,375770
"04021","PHOENIX, AZ",2000,179727
"04023","RURAL",2000,38381
"04023","RURAL",2010,47420
"04025","RURAL",2000,167517
"04025","RURAL",2010,211033
"04027","YUMA, AZ",2000,160026
"04027","YUMA, AZ",2010,195751
"05001","RURAL",2000,20749
"05001","RURAL",2010,19019
"05003","RURAL",2010,21853
"05003","RURAL",2000,24209
"05005","RURAL",2010,41513
"05005","RURAL",2000,38386
"05007","FAYETTEVILLE, AR",2000,153406
"05007","FAYETTEVILLE, AR",2010,221339
"05009","RURAL",2000,33948
"05009","RURAL",2010,36903
"05011","RURAL",2010,11508
"05011","RURAL",2000,12600
"05013","RURAL",2000,5744
"05013","RURAL",2010,5368
"05015","RURAL",2000,25357
"05015","RURAL",2010,27446
"05017","RURAL",2000,14117
"05017","RURAL",2010,11800
"05019","RURAL",2000,23546
"05019","RURAL",2010,22995
"05021","RURAL",2010,16083
"05021","RURAL",2000,17609
